Project Name,Contributor Name,Contributor Code,Initial Commit Hash,Commits Six Months,Lines Six Months,Initial lines,Inital Comments,Initial Average CCN,Functions,Complex Functions,Comment Ratio,Modularity Level,Documentation Level,Install,Tutorial
cloudflare/terraform-provider-cloudflare,Steve Hodgkiss,P22C21,b1dbaa88a803d4b069bb77c2b6c702ba2c507253,14,471,502198,107887,2.693857454,24371,682,0.176839293,3,3,1,1
cloudflare/terraform-provider-cloudflare,uros.simovic,P22C22,7b84398979518f9342787f260b7e5efe4d2baf23,11,1094,24517,459,2.398572885,981,16,0.018377643,3,3,1,1
cloudflare/terraform-provider-cloudflare,Zack Proser,P22C23,2e401508545e41bf51217c1a10b6833727ac1daa,12,420,493152,85087,2.796555179,20959,602,0.147148497,3,3,1,1
cloudflare/terraform-provider-cloudflare,benjamin-maynard,P22C24,483f38229141a4071e2535f0eab5388e99a22f99,12,36,511684,110769,2.738135593,24780,736,0.177955605,3,3,1,1
publishpress/publishpress,Anderson Grudtner Martins,P25C1,2df2640a33c2a1f230359176204e5808e7e20d33,354,217314,20371,9997,2.148578811,1548,40,0.329195205,3,2,1,0
publishpress/publishpress,andergmartins,P25C2,a8d14a1fb26dde12e2670f0a06376d39a3e598cb,121,22888,105895,25042,2.826820435,10492,414,0.191252282,3,2,0,0
publishpress/publishpress,Olawale Adesina,P25C3,9208466c5ff15890fe38829e7ef4b4d65069da1f,9,607,127223,25548,2.860408484,12730,548,0.167230692,3,2,1,0
falcosecurity/falco,Leonardo Di Donato,P27C1,537e4b7e8daf33adda599a048239988e46d07f1d,176,8163,14357,3371,3.617391304,345,17,0.190151173,3,2,0,0
falcosecurity/falco,Jason Dellaluce,P27C2,4d55847bd46a6271e79e766e54bdb5b3510945f6,52,3516,23355,5017,3.826086957,414,19,0.176829268,3,3,1,1
falcosecurity/falco,Leonardo Grasso,P27C3,61e859745dacac0ba661b9d1094a17c9ce66aa02,102,8675,21285,4311,3.760095012,421,22,0.168424754,3,3,1,1
falcosecurity/falco,Lorenzo Fontana,P27C4,bd0ca4f5a76189a57f016c72a0285301b9f96e68,70,5263,14282,3371,3.617391304,345,17,0.190959044,3,2,0,0
falcosecurity/falco,Federico Di Pierro,P27C5,ea2ca56d5b3620a891b12b82fc0110943fe8ac5b,50,752,24290,5119,3.71624714,437,18,0.174062362,3,3,1,1
falcosecurity/falco,Andrea Terzolo,P27C6,8239fa41f4b239c792eec31193337e8120a7a0e3,27,909,24146,5155,3.781609195,435,20,0.175932562,3,3,1,1
falcosecurity/falco,Josh Soref,P27C7,a84adbd2313284f0cfb9168c1f7bb244a660f5d6,62,146,24124,5261,3.636568849,443,21,0.179036924,3,3,1,1
falcosecurity/falco,kaizhe,P27C8,5beddf5320324532832ff290b8a26b629ff6c6ad,28,239,14734,3401,3.614942529,348,17,0.18753791,3,3,1,1
falcosecurity/falco,Leo Di Donato,P27C9,ff5d00073614a568f0efe1f8ed93e36a18df35be,11,127,14235,3371,3.617391304,345,17,0.191468817,3,2,0,0
mjmlio/mjml,KMcB,P29C1,68568dc77feb815fa63bab6e6435c6cd501ac5df,153,6797,8142,30,1.621908127,283,0,0.003671072,3,3,1,1
mjmlio/mjml,Bogdan Chadkin,P29C2,dafa42bf24b59aea989d4ffecb674bd0140e875d,8,7324,9953,64,1.732258065,310,0,0.006389138,3,3,1,1
mjmlio/mjml,Garry Flemings,P29C3,27e06118782aea170da559a572047c457275cde0,6,115,9619,54,1.698717949,312,0,0.005582549,3,3,1,1
redisjson/redisjson,Guy Korland,P30C1,95380caf2fc9196f1faf98d00cad73c3a7882ec5,13,749,17066,2896,4.634567901,405,49,0.145075644,1,2,0,0
redisjson/redisjson,Omer Shadmi,P30C2,ac3273784873bf4b75bea0f3e72b462405061330,13,3255,5764,541,2.76635514,107,2,0.085804917,1,2,0,0
redisjson/redisjson,Rafi Einstein,P30C3,5d76cd6439f9246d1ff78313ac0ad097a7c3e165,1,205,4721,529,3.072992701,137,4,0.100761905,2,3,1,0
pressly/goose,Vojtech Vitek,P32C1,0498aed91f6d8b2d709ef79183ab53e0496c5ff9,4,38,1266,83,3.534482759,58,2,0.061527057,2,2,1,1
pressly/goose,Michael Fridman,P32C2,f4a495fe54d46dc060532aa5744eee9484e6e47d,5,338116,234837,84005,4.322772277,2020,166,0.263469054,2,2,1,1
pressly/goose,1vn,P32C3,45eeb19d7d952531c3102add91cad61f1d02a410,29,706,1808,139,3.722891566,83,5,0.071391885,2,2,1,1
pressly/goose,Vojtech Vitek (V-Teq),P32C4,47e4c98a97cf981bba623f02354b50413089b080,18,1867,1451,133,3.519230769,52,1,0.083964646,2,2,1,1
pressly/goose,Nicholas Duffy,P32C5,1d402b32ffcc30d66ffa02885e3b3ed32e9b0b11,10,499,1373,88,3.584615385,65,2,0.060232717,2,2,1,1
pressly/goose,Josh Fyne,P32C6,3523b17cdc914ac56d49164136e7d8610244835a,9,149,1218,89,3.79245283,53,3,0.068094874,2,2,1,1
pressly/goose,Songmu,P32C7,cf288525b2c12e3a5a3450e18b0809008ea3621a,3,86,228838,83695,4.526190476,1680,144,0.267795721,2,2,1,1
pressly/goose,Aleksei Maslov,P32C8,ea2101beb36253b39e741cbdca02dd588b562559,6,73897,157125,83070,4.424285714,1400,118,0.345844002,2,2,1,1
pressly/goose,Simon Wikstrand,P32C10,19673d2b4747122d0245bc8e9843b7fbcf4c5bb6,5,66,1655,124,3.85915493,71,4,0.06970208,2,2,1,1
pressly/goose,Mike Fridman,P32C11,6d62d8314ecc3d481214ce5d6a9b079d371a0cf5,4,54,2521,172,3.520325203,123,7,0.063869291,2,2,1,1
pressly/goose,Maxim Krasilnikov,P32C12,0639337e0b110cbb32a342d9e9ad6edc3a13d067,3,139,1662,126,3.780821918,73,4,0.070469799,2,2,1,1
pressly/goose,Tony,P32C13,7b7eaf1c29c8fe7ea6f6630b0e585ea85ce3698d,4,89,1998,147,3.784090909,88,7,0.068531469,2,2,1,1
pressly/goose,Huy Nguyen,P32C14,954940e3ab734b6eb8c2f1c1e4fe40f67baf99a1,3,7162,228847,83700,4.518716578,1683,144,0.267799723,2,2,1,1
ory/fosite,hackerman,P33C1,a07ce27c814538c7d0e6228ae814482be2e96e7e,13,2552,14496,4344,1.683913452,1063,16,0.230573248,3,3,1,1
ory/fosite,Mitar,P33C2,023bdcf1217b8f86de250f53391ad3b1e356949d,19,1745,18123,4841,1.688216039,1222,19,0.210808222,3,3,1,1
ory/fosite,Amir Aslaminejad,P33C3,514fdbd20393c2175c66f3a69eb7bb849b3d5dfa,11,3109,14645,4346,1.687910028,1067,16,0.228845242,3,3,1,1
ory/fosite,Kevin Goslar,P33C4,fef32116197c076a3c1572c00877034be178b6a0,9,6334,28645,5804,1.739258387,1699,26,0.168480943,3,3,1,1
meteor/blaze,Sashko Stubailo,P34C1,d14ce47439d433eddec923f0c1b0bb9e4d7323df,1,67,971,129,1.344444444,90,2,0.117272727,2,1,0,0
meteor/blaze,Mitar,P34C2,ceb9454d8a425b5bf4bb5278b6cdc6b26e66d123,10,53,2533,810,2.352941176,323,3,0.242297338,1,1,0,0
meteor/blaze,Ben Newman,P34C3,93c168acba704cd42403e033f7ed971c23758648,1,2,366,96,2.161290323,31,2,0.207792208,2,1,0,0
meteor/blaze,Martijn Walraven,P34C4,44fbb5ff10b7a2b8cb5c26f479ac0ca9f8b220f6,78,154,86,13,1.777777778,9,0,0.131313131,1,1,0,0
hyperium/h2,Anthony Ramine,P35C1,fe938cb81ced6fe73b2cb4ae5a4c0134d6d80497,12,192,1808236,5128,1.986680328,976,12,0.002827893,3,2,1,0
yshui/picom,Yuxuan Shui,P37C1,9770b2eee24491db5f9b9e702a6f341f31ea9716,3,267,12818,3131,6.104166667,432,52,0.196313248,1,2,1,0
yshui/picom,Richard Grenville,P37C2,4861d50ca4fa534c2fa39f78e45d2288b32b7020,104,27798,2492,155,6.685714286,70,11,0.058556857,1,2,1,0
yshui/picom,Christopher Jeffrey,P37C3,4c3bf853f3b6e6c822ecf2c4b4a6c0f7f5d6c8f2,56,9250,1873,129,8.137254902,51,11,0.064435564,1,1,0,0
googleapis/nodejs-logging,Justin Beckwith,P38C1,1ccf7e4e271cb78a215f8cb257633c4ff9da6813,54,88388,40201,7327,1.164556962,869,0,0.154161757,3,3,1,1
